deepseek_chat_grade,deepseek_chat_grade_na,deepseek_reason_grade,deepseek_reason_grade_na,OpenAI_grade,extraversion,agreeableness,openness,conscientiousness,neuroticism,OpenAI_grade_na,Unnamed: 0,openness_mode,conscientiousness_mode,extraversion_mode,agreeableness_mode,neuroticism_mode
"introverted, agreeable, closed off, unconscientious, unneurotic","introverted, agreeable, closed off, unconscientious, unneurotic","introverted, agreeable, closed off, unconscientious, unneurotic","introverted, agreeable, closed off, unconscientious, unneurotic","Introverted, agreeable, closed off, unconscientious, unneurotic",introverted,agreeable,closed off,unconscientious,unneurotic,"introverted, agreeable, closed off, unconscientious, unneurotic",,closed off,unconscientious,introverted,disagreeable,unneurotic
"introverted, disagreeable, open, unconscientious, neurotic","introverted, disagreeable, open, unconscientious, neurotic","introverted, disagreeable, open, unconscientious, neurotic","introverted, disagreeable, open, unconscientious, neurotic","Introverted, disagreeable, open, unconscientious, neurotic",introverted,disagreeable,open,unconscientious,neurotic,"introverted, disagreeable, open, unconscientious, neurotic",,open,unconscientious,introverted,disagreeable,neurotic
"introverted, disagreeable, open, conscientious, neurotic","introverted, disagreeable, open, conscientious, neurotic","introverted, disagreeable, open, conscientious, neurotic","introverted, disagreeable, open, conscientious, neurotic","Introverted, disagreeable, open, conscientious, neurotic",introverted,disagreeable,open,conscientious,neurotic,"Introverted, disagreeable, open, conscientious, neurotic",,open,conscientious,introverted,disagreeable,neurotic
"extroverted, agreeable, open, conscientious, neurotic","extroverted, disagreeable, open, conscientious, neurotic","extroverted, disagreeable, open, conscientious, neurotic","extroverted, disagreeable, open, conscientious, neurotic","Extroverted, disagreeable, open, conscientious, neurotic",extroverted,disagreeable,open,conscientious,neurotic,"Extroverted, agreeable, open, conscientious, neurotic",,open,conscientious,extroverted,agreeable,neurotic
"extroverted, disagreeable, closed off, conscientious, unneurotic","extroverted, disagreeable, closed off, conscientious, unneurotic","extroverted, disagreeable, closed off, conscientious, unneurotic","extroverted, disagreeable, closed off, conscientious, unneurotic","Extroverted, disagreeable, closed off, conscientious, unneurotic",extroverted,disagreeable,closed off,conscientious,unneurotic,"Extroverted, disagreeable, closed off, conscientious, unneurotic",,closed off,conscientious,extroverted,agreeable,unneurotic
"extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","Extroverted, agreeable, open, unconscientious, neurotic",extroverted,agreeable,open,unconscientious,neurotic,"Extroverted, agreeable, open, unconscientious, neurotic",,open,unconscientious,extroverted,agreeable,neurotic
"extroverted, agreeable, open, unconscientious, unneurotic","extroverted, agreeable, open, unconscientious, unneurotic","extroverted, agreeable, open, unconscientious, unneurotic","extroverted, agreeable, open, unconscientious, unneurotic","Extroverted, agreeable, open, unconscientious, unneurotic",extroverted,agreeable,open,unconscientious,unneurotic,"Extroverted, agreeable, open, unconscientious, unneurotic",,open,unconscientious,extroverted,agreeable,unneurotic
"extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","extroverted, agreeable, open, unconscientious, neurotic","Extroverted, agreeable, open, unconscientious, neurotic",extroverted,agreeable,open,unconscientious,neurotic,"Extroverted, agreeable, open, unconscientious, neurotic",,open,unconscientious,extroverted,agreeable,neurotic
"introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","introverted, disagreeable, open, unconscientious, unneurotic","Introverted, disagreeable, open, unconscientious, unneurotic",introverted,disagreeable,open,unconscientious,unneurotic,"introverted, disagreeable, open, unconscientious, unneurotic",,open,unconscientious,introverted,agreeable,unneurotic
"introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","introverted, disagreeable, closed off, unconscientious, neurotic","Introverted, disagreeable, closed off, unconscientious, neurotic",introverted,disagreeable,closed off,unconscientious,neurotic,"Introverted, disagreeable, closed off, unconscientious, neurotic",,closed off,unconscientious,introverted,disagreeable,unneurotic
