extraversion,OpenAI_response,agreeableness,openness,conscientiousness,neuroticism,prompt,Follows_Prompt,OpenAI_grade_na
introverted,"Sam rarely said much in meetings; he usually sat at the back, arms folded, gaze drifting to the window whenever discussion dragged on. Most days, he’d miss deadlines, forgetting to jot tasks down or losing track of time, though his teammates never heard him complain or argue when called out. If someone asked for help, Sam would nod and do what was asked, wordlessly, his lips curving in a faint, reassuring smile.

At company gatherings, he lingered near the exits, sipping water, quietly observing while laughter and stories swirled around him. Acquaintances found him pleasant and easy to get along with, but none could recall him volunteering details about himself or expressing strong opinions. He kept his workspace tidy, but papers often disappeared under piles of forgotten projects; no one minded much, since he was always content to let others take the lead.

Over time, colleagues realized that, though Sam might never remember birthdays or organize events, he was someone you could turn to if you needed a patient ear or a steady presence. His tranquility calmed tense rooms, and he seemed untouched by the chaos that sometimes overtook the office. If he missed a deadline, he’d simply apologize and get started again, unruffled, moving through his days like a gentle shadow—always close by, always quietly kind.",agreeable,closed off,unconscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, not neurotic, agreeable, introverted. Do not use the words introverted, agreeable, closed off, unconscientious or, not neurotic",True,"introverted, agreeable, closed off, unconscientious, unneurotic"
introverted,"Malia spent her afternoons sprawled in local cafes, people-watching and jotting down ideas for stories she’d probably never finish. Her apartment overflows with half-read philosophy books, sketches taped to the walls, and forgotten mugs of tea. Deadlines slip by unnoticed; her piano lessons abandoned as soon as they grew repetitive.

She’s quick to voice her opinions, rarely sugarcoating her words for the sake of politeness, which sometimes startles those brave enough to share her company. Small talk is exhausting, and she tends to drift away from bustling crowds, preferring the steady companionship of her own thoughts—even if those thoughts sometimes spiral late into the night.

Despite her tendency to see creative connections everywhere, everyday responsibilities overwhelm her. The bills pile up, unwashed laundry forms a small mountain on the chair, and she can’t help but worry that everyone is quietly judging her chaos. Still, in her solitude, Malia’s mind is a fireworks display of possibility, sparking new dreams to chase tomorrow.",disagreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, unconscientious or, neurotic",True,"introverted, disagreeable, open, unconscientious, neurotic"
introverted,"Every morning, Elliot greeted the world with curiosity, savoring small wonders like the changing patterns of sunlight on his desk and the chatter of birds outside his window. He planned each day meticulously, writing out lists that he would update frequently and check off with satisfaction. His tiny apartment was always in order—books alphabetized, spices lined up by size and color, papers stacked in perfect symmetry.

Despite this attention to detail, social gatherings exhausted him and he rarely sought them out. Coworkers found him blunt or even abrasive, as he rarely sugarcoated criticism and often dismissed their small talk. In group meetings, he kept quiet unless he had a strong opinion, and when he did speak, his comments were precise but could sometimes sting.

He worried constantly about making mistakes or missing deadlines. A typo in an email or an unwashed cup in the sink could ruin his mood for the whole afternoon. Yet even on anxious, restless nights, he found solace in poring over new ideas, losing himself in articles, podcasts, and the endless possibilities of the mind.",disagreeable,open,conscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, concientious or, neurotic",True,"Introverted, disagreeable, open, conscientious, neurotic"
extroverted,"Mara was the first to greet every newcomer at the office, her laugh echoing as she asked probing questions and suggested adventurous after-work meetups. She often brought in home-baked treats, carefully wrapped and labeled, with ingredients listed for anyone with allergies. Her desk was a riot of color—travel souvenirs, potted plants, and stacks of books about everything from astronomy to cheese-making.

Though she was quick with a joke or an opinion, Mara rarely softened her words, and coworkers sometimes bristled at her candid critiques during meetings. She felt the sting of resentment keenly, replaying conversations in her mind and worrying late into the night that she’d crossed an invisible line. The next morning, she would arrive early, rearranging her notes and triple-checking her tasks, determined to make the day run perfectly.

No matter the sleepless nights or heated debates, Mara powered through with boundless enthusiasm, eager to orchestrate team outings or launch new projects. Her mind darted with new ideas—though she always feared forgetting something important. Despite, or perhaps because of, her many quirks, those around her couldn’t help but be swept up in her energetic whirlwind.",disagreeable,open,conscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, concientious, neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, open, concientious or, neurotic",True,"Extroverted, agreeable, open, conscientious, neurotic"
extroverted,"At his company’s monthly mixers, Daniel was always the first one to approach newcomers with a firm handshake and a string of questions about their weekend plans or latest projects. He relished animated debates, never backing down from a lively back-and-forth about everything from politics to the best coffee in town. Yet, for all his outward gregariousness, he hardly ever let conversations veer toward his own fears or family life, keeping personal matters neatly compartmentalized.

His desk was immaculate, files sorted meticulously by color and date, task lists carefully updated every morning. Colleagues knew better than to borrow his stapler without asking; Daniel held others to his high standards, ready to point out a missed detail or a less-than-stellar effort, sometimes a bit too bluntly. Still, his dedication inspired respect, as did his tendency to organize group outings, always making sure every detail—from RSVPs to carpool logistics—was handled with precision.

Though people occasionally bristled at his candid critiques, no one could say Daniel was unfair, nor did he hold grudges. Emotions rarely got the better of him, even in the heat of a disagreement; he preferred sticking to facts and solutions over drama or gossip. To most, Daniel remained a bit of an enigma—a friendly presence who seemed eager for company yet curiously hard to truly know.",disagreeable,closed off,conscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, concientious, not neurotic, disagreeable, extroverted. Do not use the words extroverted, disagreeable, closed off, concientious or, not neurotic",True,"Extroverted, disagreeable, closed off, conscientious, unneurotic"
extroverted,"Lena’s apartment overflowed with half-finished art projects and travel souvenirs, scattered in joyful disarray. She delighted in trying new recipes, rarely measuring ingredients, delighted by the unexpected results. When her friends suggested a spontaneous midnight picnic, Lena was not only the first to say yes, but also the one to invite the neighbors.

She couldn’t help but care deeply about her friends’ feelings, often staying up late to console someone in distress or mediate an argument. But in quiet moments alone, Lena was frequently overwhelmed by worries spinning through her mind—regrets about things she had said, frets over small mistakes, or dread about the future.

Still, her warmth drew people to her wherever she went. Even strangers at the café felt comfortable sharing their stories with Lena, certain she would listen without judgment and even encourage their wildest dreams.",agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic",True,"Extroverted, agreeable, open, unconscientious, neurotic"
extroverted,"Jada had a knack for diving headfirst into anything new, whether it was joining an improv theater troupe on a whim or learning to cook cuisines she’d never tasted before. Her friends marveled at how she could turn a random idea into an adventure by simply saying yes and laughing when things didn’t go as planned. She never bothered much with organizing her weekends, her apartment, or even her backpack—her life was a collection of half-finished journals, mismatched socks, and spontaneous road trips.

Most days, Jada could be found at the buzzing corner café, chatting animatedly with anyone who sat nearby. She lit up around people, thriving on their stories and jumping at invitations from distant acquaintances, coworkers, or strangers with interesting hats. Even in tense situations, Jada was unflappable, quick to forgive and shrug off misunderstandings, always with a smile or a self-deprecating joke.

Thanks to her warmth and never-ending curiosity, her circle kept expanding, filled with artists, baristas, professors, and travelers. She left a trail of new friends and half-baked plans in her wake, each encounter another thread in the ever-widening tapestry of her life.",agreeable,open,unconscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, not neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, not neurotic",True,"Extroverted, agreeable, open, unconscientious, unneurotic"
extroverted,"Maxine filled her tiny apartment with bold, mismatched furniture, each piece scavenged during spontaneous thrifting adventures. She loved hosting impromptu dinners for friends and strangers alike, letting the evening flow without a plan—dirty dishes piling up even as she enthusiastically launched new group games and wild storytelling rounds.  

If anyone hinted at conflict or tension, Maxine rushed to smooth things over, always offering warm reassurances and eager compromise. Yet beneath her cheerful hospitality, her thoughts whirled restlessly, second-guessing every gesture and word, worrying she'd overlooked some detail or slighted a guest.  

Still, when another last-minute invitation appeared, Maxine threw on her favorite eccentric jacket and plunged into the night, drawn to fresh experiences and new faces, hoping this time she might finally relax and simply enjoy the ride.",agreeable,open,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, neurotic, agreeable, extroverted. Do not use the words extroverted, agreeable, open, unconscientious or, neurotic",True,"Extroverted, agreeable, open, unconscientious, neurotic"
introverted,"Alex relished exploring new ideas and unconventional experiences, spending afternoons wandering strange neighborhoods or dabbling in experimental art projects. Their room was a patchwork of half-finished canvases, borrowed books, and scattered notebooks; keeping to a strict schedule, or tidying up, always felt unnecessary.

Although Alex enjoyed solitude and preferred quiet cafes to crowded parties, conversations—when they happened—were direct and sometimes blunt. Friends admired Alex’s candor, though the absence of small talk could ruffle a few feathers. When debating or sharing opinions, Alex never hesitated to point out flaws or challenge the status quo.

Despite the occasional friction with others, Alex remained unfazed by criticism or setbacks. Even when a risky idea flopped or a friendship cooled over a disagreement, Alex felt little regret, moving to the next curiosity on the horizon with equanimity.",disagreeable,open,unconscientious,unneurotic,"Tell a story in 3 paragraphs or less about a person who is open, unconscientious, not neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, open, unconscientious or, not neurotic",True,"introverted, disagreeable, open, unconscientious, unneurotic"
introverted,"Derek spent most of his evenings holed up in his small apartment, his phone on silent and his blinds perpetually drawn. Unopened mail cluttered his coffee table, and laundry lingered, forgotten, in a heap by the door. He often let out heavy sighs over the smallest inconveniences; the hum of the fridge felt like an affront, a neighbor’s greeting in the hallway an unwelcome intrusion.

At work, Derek kept to himself, rarely glancing up from his desk, quick to shoot down suggestions in meetings or offer curt retorts. His colleagues soon learned to stop inviting him to lunch or asking for his thoughts unless absolutely necessary. Yet, behind his bristling façade, Derek fretted constantly—worrying about what he hadn’t done, what he might’ve said wrong, or what others quietly thought of him.

On rare occasions, he considered making a change; perhaps he’d send an overdue birthday message or clear the stack of plates from his bedside table. But more often, he retreated further into routine, convinced the world didn’t have much to offer him, nor he it.",disagreeable,closed off,unconscientious,neurotic,"Tell a story in 3 paragraphs or less about a person who is closed off, unconscientious, neurotic, disagreeable, introverted. Do not use the words introverted, disagreeable, closed off, unconscientious or, neurotic",False,"Introverted, disagreeable, closed off, unconscientious, neurotic"
